property_type,inspections_opendate,inspections_closeddate,date_num,violation
Rooming House,2024-04-03,2024-06-14,670,0
Hospital,2023-02-01,2024-04-08,1437,1
Hotel & Motel,2021-09-22,2024-08-10,334,1
Residential Care,2021-01-25,2024-06-10,1625,1
High Rise,2021-06-25,2024-07-19,1372,1
Group Home (VO),2023-12-23,2024-03-23,11,1
Group Home (VO),2022-04-29,2024-08-13,783,1
Nursing Home,2022-06-15,2024-05-21,13,1
Group Home (VO),2024-03-13,2024-05-04,623,1
Hotel & Motel,2024-10-12,2024-11-25,945,0
Group Home,2022-02-24,2024-04-23,1371,0
Low Rise,2019-12-10,2024-10-23,1481,0
High Rise,2021-07-07,2024-03-13,671,0
High Rise,2024-02-12,2024-10-06,1209,1
Low Rise,2021-11-26,2024-04-17,1571,0
High Rise,2020-10-06,2024-05-17,200,1
Low Rise,2024-11-06,2024-07-16,1414,1
Nursing Home,2020-05-25,2024-06-08,399,0
High Rise,2021-06-29,2024-09-22,1525,0
Detention,2022-07-07,2024-02-15,753,0
Low Rise,2021-07-28,2024-08-25,477,0
Low Rise,2021-09-14,2024-03-12,145,1
Group Home (VO),2024-01-19,2024-02-24,635,0
Residential Care,2019-07-28,2024-02-14,18,1
Rooming House,2021-01-24,2024-08-27,1472,1
Hospital,2019-08-30,2024-10-03,320,1
Rooming House,2020-11-14,2024-08-05,540,0
Rooming House,2023-07-31,2024-02-08,1531,0
Hospital,2019-08-22,2024-05-06,1582,0
Detention,2020-12-06,2024-08-14,918,1
Group Home,2023-01-18,2024-03-18,1587,1
Detention,2023-08-17,2024-01-10,13,1
Hotel & Motel,2020-07-30,2024-10-14,1349,1
Detention,2020-04-13,2024-01-13,921,0
Low Rise,2024-09-11,2024-02-06,1188,0
Hotel & Motel,2024-02-24,2024-11-18,311,1
Detention,2022-04-05,2024-06-03,1260,0
Residential Care,2023-11-27,2024-08-27,1374,1
Hotel & Motel,2023-08-21,2024-11-25,874,0
Residential Care,2021-08-12,2024-03-02,249,0
Group Home,2021-03-09,2024-06-21,564,0
Low Rise,2022-01-02,2024-07-21,1386,1
Hospital,2022-02-04,2024-04-05,1363,0
Rooming House,2019-07-27,2024-10-17,877,0
Residential Care,2022-05-08,2024-05-12,113,1
Hotel & Motel,2022-05-05,2024-07-31,481,1
Group Home (VO),2022-04-09,2024-04-29,390,0
High Rise,2023-11-14,2024-04-02,1307,1
Detention,2023-08-27,2024-03-21,258,1
Low Rise,2019-07-15,2024-08-21,619,1
Group Home (VO),2020-04-05,2024-03-25,846,1
High Rise,2023-05-23,2024-08-08,1164,1
Detention,2023-06-07,2024-07-26,1447,1
Residential Care,2021-11-09,2024-08-03,1211,0
Low Rise,2022-04-05,2024-02-01,1288,1
Hospital,2021-04-25,2024-07-24,1061,1
Detention,2024-08-13,2024-08-26,1115,1
Detention,2020-10-13,2024-05-04,1081,0
Residential Care,2021-11-28,2024-01-25,559,0
Low Rise,2021-09-26,2024-03-18,1389,0
High Rise,2022-07-10,2024-07-13,1490,1
Hospital,2022-04-29,2024-07-13,1245,1
Rooming House,2022-07-16,2024-10-25,102,1
Nursing Home,2023-02-03,2024-11-19,134,0
Rooming House,2023-11-28,2024-02-02,869,1
Rooming House,2023-08-24,2024-05-08,712,1
Group Home,2023-05-30,2024-10-30,1532,0
Hospital,2022-10-11,2024-09-22,762,0
Group Home,2024-10-11,2024-05-09,274,0
Group Home,2022-01-24,2024-04-17,1333,1
Residential Care,2020-11-24,2024-07-24,1487,0
Nursing Home,2024-06-30,2024-10-18,583,0
Hotel & Motel,2023-04-17,2024-05-25,1252,1
Rooming House,2023-10-07,2024-03-02,148,0
High Rise,2022-03-25,2024-03-30,1523,0
Low Rise,2024-08-18,2024-06-21,1,0
Nursing Home,2020-05-25,2024-01-07,573,0
Detention,2023-12-17,2024-06-18,154,0
Rooming House,2024-03-15,2024-05-09,533,1
Hotel & Motel,2021-09-14,2024-03-24,1639,0
High Rise,2020-11-16,2024-03-29,555,1
Low Rise,2020-08-23,2024-04-08,89,0
Detention,2020-09-16,2024-09-05,1012,1
Detention,2023-03-01,2024-11-01,1322,1
Hospital,2020-02-05,2024-03-08,1523,0
Rooming House,2021-10-22,2024-08-01,1120,1
Group Home (VO),2022-10-05,2024-01-30,200,1
Group Home,2019-10-15,2024-06-25,1563,0
Low Rise,2019-08-19,2024-01-04,1465,0
High Rise,2020-01-31,2024-04-17,357,0
High Rise,2023-12-24,2024-02-08,1478,0
Group Home (VO),2021-12-21,2024-08-10,378,1
Low Rise,2022-11-23,2024-08-30,1108,0
Low Rise,2021-08-23,2024-11-02,420,1
Detention,2023-09-03,2024-02-02,1422,0
Group Home (VO),2023-03-07,2024-06-28,966,0
Hospital,2021-05-25,2024-01-09,1098,1
Rooming House,2020-12-01,2024-02-26,1678,0
Detention,2023-05-10,2024-04-29,970,1
Detention,2023-02-19,2024-08-17,1049,0
High Rise,2023-02-24,2024-08-09,697,0
Nursing Home,2022-02-01,2024-07-09,1256,0
High Rise,2020-03-16,2024-08-11,1544,0
Group Home,2019-12-03,2024-06-12,546,1
Nursing Home,2019-08-20,2024-02-02,585,1
Rooming House,2023-06-04,2024-01-18,785,0
Rooming House,2024-06-14,2024-09-24,748,1
Nursing Home,2022-10-26,2024-03-06,202,0
Hotel & Motel,2023-02-02,2024-10-11,1460,1
Low Rise,2024-09-14,2024-06-10,1138,0
High Rise,2022-04-09,2024-04-05,691,1
Group Home,2024-05-13,2024-09-23,1181,1
Residential Care,2022-06-25,2024-09-20,1111,0
Group Home (VO),2020-10-03,2024-01-24,84,1
Nursing Home,2023-12-06,2024-08-18,765,1
Low Rise,2023-04-12,2024-10-13,978,0
Group Home (VO),2022-09-21,2024-10-07,402,0
Low Rise,2022-09-08,2024-08-23,891,0
Hospital,2021-04-02,2024-04-09,1300,1
Rooming House,2022-12-22,2024-09-26,828,1
Rooming House,2023-04-05,2024-11-01,1320,0
Residential Care,2021-11-02,2024-07-13,1407,0
Hotel & Motel,2023-02-08,2024-05-26,306,0
Hospital,2019-11-12,2024-10-16,1386,0
Detention,2022-02-27,2024-09-24,775,1
Nursing Home,2023-03-27,2024-01-20,831,0
Hotel & Motel,2021-07-18,2024-01-18,325,1
Group Home,2020-04-21,2024-01-13,1130,1
Nursing Home,2023-07-07,2024-03-26,303,0
Detention,2021-03-24,2024-06-02,871,1
Nursing Home,2019-09-14,2024-10-12,942,0
Hospital,2021-12-31,2024-08-26,1471,1
Group Home,2020-09-15,2024-03-26,1497,0
Hotel & Motel,2019-07-29,2024-03-03,85,1
Rooming House,2022-09-06,2024-03-24,1276,1
Nursing Home,2020-01-22,2024-07-12,258,1
Group Home,2023-02-19,2024-02-05,136,1
Rooming House,2022-02-16,2024-04-05,464,1
Residential Care,2020-07-27,2024-07-07,1669,1
Hospital,2023-03-18,2024-06-30,538,0
Detention,2024-01-03,2024-07-30,1174,1
Group Home,2021-10-25,2024-03-13,1304,1
Residential Care,2020-02-24,2024-05-19,554,1
Residential Care,2021-05-06,2024-02-28,974,0
Group Home,2019-12-04,2024-10-19,842,1
Group Home,2019-09-30,2024-04-18,788,1
Hospital,2020-10-20,2024-07-18,1270,0
Group Home (VO),2024-05-14,2024-02-23,1256,1
High Rise,2022-03-13,2024-02-25,354,1
Nursing Home,2023-05-24,2024-06-29,1086,1
Hotel & Motel,2024-02-02,2024-02-28,436,1
Group Home (VO),2024-01-14,2024-11-07,59,0
Hospital,2021-04-17,2024-05-19,263,1
Detention,2023-07-12,2024-06-09,319,1
Nursing Home,2021-11-17,2024-06-12,751,1
Rooming House,2024-07-17,2024-01-22,903,1
Group Home (VO),2023-01-30,2024-01-08,1298,0
Hotel & Motel,2021-03-20,2024-06-15,1633,1
Group Home,2021-08-28,2024-10-02,252,1
Residential Care,2020-11-08,2024-06-01,349,1
Detention,2023-10-05,2024-02-22,546,1
Rooming House,2022-03-09,2024-11-22,895,1
Hotel & Motel,2023-08-01,2024-04-05,1418,1
Low Rise,2021-10-31,2024-08-13,477,0
Residential Care,2020-09-21,2024-05-16,1428,0
Hospital,2024-07-21,2024-02-22,385,1
Group Home,2021-11-30,2024-11-05,110,1
Hospital,2023-06-01,2024-09-01,897,0
Low Rise,2020-11-29,2024-07-11,417,1
Low Rise,2023-09-30,2024-04-27,927,1
Nursing Home,2024-07-14,2024-08-17,1611,1
Nursing Home,2020-09-30,2024-07-04,910,1
Group Home (VO),2020-10-28,2024-03-16,267,1
Residential Care,2024-11-20,2024-05-01,694,1
Hotel & Motel,2020-02-13,2024-02-13,1499,0
Detention,2023-08-09,2024-11-16,1634,1
Hotel & Motel,2022-08-05,2024-01-24,1662,0
Nursing Home,2019-12-15,2024-04-05,949,1
Rooming House,2022-09-29,2024-07-23,475,1
Group Home (VO),2019-12-26,2024-07-03,1365,1
High Rise,2020-12-02,2024-04-15,1325,1
Hotel & Motel,2021-04-24,2024-02-07,16,0
Hospital,2022-04-01,2024-09-28,1316,1
Nursing Home,2022-08-24,2024-09-30,429,0
Group Home,2021-07-10,2024-02-11,1106,1
Hospital,2024-10-08,2024-03-08,793,1
High Rise,2023-02-17,2024-08-24,349,1
Detention,2023-06-14,2024-08-23,234,0
Group Home,2024-04-05,2024-11-14,14,0
High Rise,2023-05-20,2024-07-28,1630,1
Group Home (VO),2021-02-09,2024-07-29,609,1
Group Home,2022-01-11,2024-08-03,1214,0
Low Rise,2024-06-26,2024-07-07,667,0
Hotel & Motel,2023-07-10,2024-01-04,1158,1
Detention,2022-10-27,2024-08-25,879,0
Rooming House,2021-12-27,2024-11-03,172,0
Detention,2020-04-07,2024-05-10,1149,0
High Rise,2022-10-10,2024-09-11,1273,1
Hotel & Motel,2024-03-01,2024-02-06,719,1
Hospital,2023-12-14,2024-08-07,1015,1
Group Home,2022-02-12,2024-10-19,863,1
Group Home (VO),2020-05-03,2024-08-10,265,0
Hotel & Motel,2024-05-04,2024-01-07,84,1
Detention,2023-04-11,2024-03-10,907,1
Low Rise,2022-03-19,2024-07-05,1020,0
Nursing Home,2023-02-09,2024-09-06,37,0
Group Home,2019-10-07,2024-09-18,1428,1
Hospital,2024-04-04,2024-01-30,801,1
Rooming House,2022-01-19,2024-07-14,1203,0
Hotel & Motel,2021-06-23,2024-04-26,746,1
Hospital,2023-07-17,2024-08-05,1037,0
High Rise,2020-07-19,2024-10-08,1435,0
Hospital,2022-06-10,2024-02-16,1096,0
Nursing Home,2020-09-13,2024-10-13,1125,0
Detention,2020-01-31,2024-06-18,238,0
Low Rise,2020-01-04,2024-01-11,769,1
Detention,2023-12-24,2024-06-02,1190,1
High Rise,2019-07-15,2024-03-29,462,1
Low Rise,2023-06-29,2024-01-19,890,0
Low Rise,2023-06-13,2024-09-17,1341,1
Nursing Home,2021-11-01,2024-04-01,694,0
Rooming House,2019-11-26,2024-02-04,1516,1
Group Home,2022-02-20,2024-01-11,327,0
Residential Care,2024-09-05,2024-01-04,27,0
Hotel & Motel,2023-05-04,2024-06-01,721,1
Nursing Home,2019-07-12,2024-05-01,867,0
Detention,2023-02-01,2024-05-26,839,1
Hospital,2020-09-15,2024-06-07,414,1
Hospital,2021-06-08,2024-07-07,1117,0
Nursing Home,2022-03-14,2024-01-15,701,1
High Rise,2021-03-11,2024-04-03,1271,1
Low Rise,2022-08-11,2024-03-13,1332,1
Group Home (VO),2021-05-21,2024-04-07,209,1
Nursing Home,2022-09-23,2024-05-12,1368,0
Nursing Home,2020-06-09,2024-08-07,670,0
Hotel & Motel,2022-02-23,2024-04-23,539,1
Group Home (VO),2022-05-11,2024-06-29,839,0
High Rise,2020-07-28,2024-06-28,653,0
Rooming House,2021-10-02,2024-01-23,66,1
Residential Care,2019-08-04,2024-08-03,1664,1
Residential Care,2020-07-09,2024-01-20,221,0
Hotel & Motel,2020-02-07,2024-09-15,1338,1
Rooming House,2022-06-06,2024-09-30,573,1
Group Home,2019-11-20,2024-11-25,1632,0
Nursing Home,2022-03-23,2024-11-06,1621,0
Group Home,2021-07-14,2024-03-29,1147,1
Detention,2021-08-09,2024-10-05,1251,0
Hotel & Motel,2022-06-01,2024-07-30,1188,0
High Rise,2020-03-14,2024-02-25,1271,0
Hospital,2023-02-20,2024-10-13,1199,1
Rooming House,2023-02-28,2024-05-08,1290,0
Rooming House,2020-08-02,2024-02-03,1060,0
High Rise,2023-08-07,2024-07-19,77,0
Hotel & Motel,2021-09-05,2024-07-26,128,0
Group Home (VO),2022-10-02,2024-01-05,584,1
Hospital,2022-11-26,2024-03-30,1475,1
Rooming House,2019-10-10,2024-11-15,1280,1
Hospital,2019-10-31,2024-01-25,378,0
Residential Care,2023-11-12,2024-05-21,476,1
Nursing Home,2019-08-26,2024-01-06,525,1
High Rise,2022-07-24,2024-09-15,68,1
Hospital,2020-05-12,2024-04-26,365,1
Low Rise,2023-02-07,2024-08-27,982,0
Nursing Home,2021-05-06,2024-06-18,472,1
Rooming House,2021-10-07,2024-01-21,1271,1
Nursing Home,2023-08-19,2024-09-30,555,0
Residential Care,2024-04-19,2024-05-19,1334,1
Nursing Home,2021-09-17,2024-05-05,503,0
Residential Care,2019-08-12,2024-06-26,1277,0
Residential Care,2024-04-06,2024-05-22,1515,1
Group Home,2020-03-22,2024-04-25,436,0
High Rise,2023-08-21,2024-11-12,1667,0
Detention,2019-10-11,2024-07-24,231,0
Nursing Home,2021-09-02,2024-05-05,872,0
Low Rise,2021-03-12,2024-05-06,628,0
High Rise,2022-04-05,2024-08-22,484,1
Residential Care,2022-07-09,2024-08-17,540,1
Hotel & Motel,2022-10-23,2024-11-02,1125,1
Hotel & Motel,2020-04-10,2024-10-09,403,1
Group Home,2021-06-08,2024-02-07,1461,0
Hotel & Motel,2024-04-10,2024-06-02,1501,0
Group Home,2022-10-01,2024-06-01,1066,1
Residential Care,2023-05-27,2024-05-13,1229,0
Group Home,2019-12-04,2024-11-05,1301,1
Rooming House,2024-08-16,2024-02-24,1190,0
Residential Care,2022-01-02,2024-06-11,1501,1
Nursing Home,2022-05-15,2024-04-12,1272,0
Hotel & Motel,2024-05-31,2024-10-11,1036,1
Residential Care,2021-01-19,2024-02-09,744,0
Detention,2023-06-18,2024-01-05,1166,1
High Rise,2021-05-23,2024-04-29,1111,1
Hotel & Motel,2021-10-30,2024-08-11,501,0
Detention,2020-05-02,2024-03-26,1472,0
Hotel & Motel,2023-03-01,2024-06-25,1382,1
Rooming House,2021-11-02,2024-10-25,166,0
Detention,2024-03-17,2024-03-21,1064,0
Hospital,2021-04-17,2024-11-10,1196,0
Hotel & Motel,2021-07-03,2024-07-19,630,0
Group Home,2021-06-26,2024-05-03,833,1
Rooming House,2021-03-07,2024-01-11,216,0
High Rise,2023-05-16,2024-01-05,1572,1
Nursing Home,2019-07-15,2024-07-01,1107,1
Group Home (VO),2020-06-13,2024-01-29,731,1
Detention,2020-09-25,2024-07-03,956,0
Group Home (VO),2020-02-02,2024-01-30,1011,0
Group Home (VO),2021-10-08,2024-08-17,71,0
Hospital,2023-02-24,2024-01-17,1242,1
Residential Care,2020-06-15,2024-11-16,292,0
High Rise,2022-01-01,2024-10-17,881,0
Group Home,2021-04-23,2024-07-28,1356,0
Detention,2020-03-27,2024-09-17,423,0
Group Home (VO),2023-03-05,2024-03-31,296,0
Low Rise,2021-03-12,2024-08-29,1131,0
High Rise,2022-12-27,2024-10-20,324,1
Group Home,2021-02-03,2024-11-17,1041,0
Group Home,2022-08-19,2024-08-11,306,1
Rooming House,2020-08-11,2024-06-26,562,0
Rooming House,2020-11-01,2024-06-18,1107,0
Group Home (VO),2022-01-01,2024-11-09,463,1
Hospital,2024-11-15,2024-02-14,1361,0
Group Home,2023-11-04,2024-08-04,1275,0
Detention,2019-11-10,2024-04-30,1383,0
Detention,2024-10-12,2024-05-02,1446,1
High Rise,2020-05-10,2024-07-16,87,0
Hotel & Motel,2022-07-16,2024-08-27,1515,0
Group Home (VO),2019-07-17,2024-07-11,1286,0
Hotel & Motel,2020-08-26,2024-09-07,208,0
Residential Care,2021-10-31,2024-01-20,1032,0
Residential Care,2023-07-19,2024-03-03,1170,1
Nursing Home,2021-09-12,2024-11-22,1037,1
High Rise,2024-06-16,2024-10-23,1155,0
Group Home (VO),2023-09-13,2024-01-15,1293,1
Group Home (VO),2021-03-26,2024-11-01,1492,1
Nursing Home,2020-09-27,2024-04-04,817,0
Low Rise,2020-03-23,2024-04-28,831,0
Hospital,2020-04-10,2024-03-02,378,1
Low Rise,2024-09-01,2024-11-07,1249,1
Group Home,2019-12-01,2024-04-10,1042,1
Rooming House,2019-07-11,2024-08-11,678,0
Hotel & Motel,2020-07-29,2024-05-05,1214,1
Hospital,2019-08-02,2024-07-18,347,1
Nursing Home,2020-09-18,2024-11-04,189,1
High Rise,2024-10-29,2024-11-26,1511,1
Nursing Home,2019-09-18,2024-04-13,864,0
Group Home (VO),2020-02-22,2024-04-06,635,1
Residential Care,2022-06-23,2024-04-26,1523,1
